title,question,expected_answer,generated_answer,is_similar
Pope_Paul_VI,What type of theologians did the World Council of Churches decide to include in their committees?,Catholic,"['The World Council of Churches decided to include Catholic theologians in their committees, provided they have the backing of the Vatican.']",2
Rule_of_law,What harms the adherence to the Constitution in Thailand?,Ancient prejudices and political bias,"['In Thailand, adherence to the Constitution is harmed by the executive branch’s rejection of supreme court decisions, as noted in November 2013 when the government disregarded a ruling on how to select senators. Such actions undermine the rule of law and challenge the independence of the judiciary, which is fundamental to constitutional governance. Additionally, the historical context of royalist principles influencing governance, along with the tension between democratic aspirations and authoritarian practices, further disrupts constitutional adherence in Thailand.']",2
Universal_Studios,In what year did MCA take over Universal?,1962,['MCA took over Universal in mid-1962.'],7
Classical_music,What instrument did Anna Lelkes play?,harp,"['The context provided does not contain any information regarding Anna Lelkes or the instrument she played. Therefore, I cannot determine what instrument she played based on the given texts.']",0
Alexander_Graham_Bell,On what day did the Halifax Explosion happen?,"December 6, 1917","['The Halifax Explosion occurred on December 6, 1917.']",9
Dutch_Republic,Who was influenced by the Constitution of the Republic of the United Provinces?,The framers of the US Constitution,['The framers of the US Constitution were influenced by the Constitution of the Republic of the United Provinces.'],3
East_India_Company,What was the total bounty offered for Captian Every after England heard that the Ganj-i-Sawai was  taken,"£1,000","['The total bounty offered for Captain Every after the news of the Ganj-i-Sawai being taken was £1,000.']",7
Hunting,What percentage of Americans actually hunted at the beginning of the 21st century?,just six percent,"['At the beginning of the 21st century, just six percent of Americans actually hunted.']",5
Yale_University,What title change will be happening to reduce racial tensions?,the title of “master” for faculty members who serve as residential college leaders will be renamed to “head of college”,"['The title change relates to the implementation and expansion of affirmative action policies aimed at reducing racial tensions. These policies seek to create equal opportunities for individuals of all races, particularly for people of color, by prohibiting discrimination based on race, color, or national origin in employment and contracting processes. Such changes in policy and practice, including the provisions established in Executive Orders and the Civil Rights Act, are designed to address and mitigate the effects of past discrimination, foster inclusivity, and promote equitable treatment in various sectors.']",0
Huguenot,The term may be related to what politician from Switzerland?,Besançon Hugues,"['The term may be related to the Swiss politician Besançon Hugues, who was mentioned in the context regarding the origins of the nickname ""Huguenot"" and its connection to Swiss republicanism.']",7
Phonology,With the passage of time what particular things phonemic in a language are known to change?,contrasts,"['With the passage of time, the particular phonemic oppositions in a language—such as which sounds are considered distinct phonemes—are known to change. For example, sounds that were once allophones of the same phoneme can evolve to become separate phonemes. Additionally, the quality of vowels and contrasts between long and short vowels can also change, impacting how phonemic distinctions are perceived and realized within the language.']",3
Seven_Years%27_War,What were casualties like in the 1757 battle in Prague?,both forces suffered major casualties,"['The Battle of Prague on May 6, 1757, was a bloody confrontation resulting in major casualties for both the Prussian and Austrian forces. While the specific numbers of casualties are not detailed in the provided context, it is noted that both sides suffered ""major casualties"" during the battle. This indicates that the fighting was intense and resulted in significant losses for the armies involved.']",9
Religion_in_ancient_Rome,Who ate the meat of the sacrifice during the after sacrifice  banquet?,officials and priests,"[""The meat of the sacrifice was eaten by Rome's officials and priests, who reclined in order of precedence alongside and ate the meat, while lesser citizens may have had to provide their own.""]",8
Pope_John_XXIII,New pontiffs are chosen from Cardinals who head what?,archdioceses or departments of the Roman Curia,['New pontiffs are chosen from Cardinals who head archdioceses or departments of the Roman Curia.'],8
Samurai,Where did the bushi live?,mainly in the north of Japan,"['The bushi, or samurai, predominantly lived in the northern regions of Japan, as they were part of traditional warrior families that formed powerful clans.']",7
FA_Cup,Where was the first trophy presented? ,the Pall Mall Restaurant in London,"[""The first trophy was presented in 1910 to the FA's long-serving president Lord Kinnaird.""]",0
Tibet,What is worshipped during Tibet's various festibals?,Buddha,"[""During Tibet's various festivals, the Buddha is worshipped.""]",3
Franco-Prussian_War,What did France fear by an alliance between Prussia and Spain?,encirclement,"[""France feared that an alliance between Prussia and Spain would strengthen Prussia's military power and territorial ambitions, particularly as Prussia sought to expand its influence in Europe. This could potentially lead to a united front against France, threatening its security and geopolitical interests. The alliance could also enhance the capabilities of both nations, posing a significant risk to France's position in the region, especially given the historical context of conflicts like the Seven Years' War and the Franco-Prussian War, which underscored the fragility of French dominance in Europe.""]",3
Zhejiang,When did the Six Dynasties end?,589,['The Six Dynasties period is generally considered to have ended in 589 AD when the Sui Dynasty unified China.'],5
Hindu_philosophy,"According to a school of Vedanta, what is all reality?",Brahman,"['According to a school of Vedanta, specifically Advaita Vedanta, all reality is Brahman, and there exists nothing whatsoever which is not Brahman.']",8
51st_state,What percentage of voters rejected the status of territory?,54 percent,['54 percent of respondents voted to reject the current status under the territorial clause of the U.S. Constitution.'],7
On_the_Origin_of_Species,What was chapter VII entitled?,Miscellaneous objections,"['The context provided does not explicitly mention a ""Chapter VII."" However, it does reference ""Title VII,"" which pertains to anti-discrimination provisions outlined in the Civil Rights Act. If you are referring to the ""Title VII"" mentioned, it prohibits discrimination in hiring, firing, and promotion based on race, religion, and other factors, and is often described as promoting nondiscrimination in the workplace. If ""Chapter VII"" refers to something else, please clarify or provide more context.']",0
