title,question,expected_answer,generated_answer,is_similar
Pope_Paul_VI,What type of theologians did the World Council of Churches decide to include in their committees?,Catholic,"['The World Council of Churches decided to include Catholic theologians in its committees, provided they have the backing of the Vatican.']",2
Rule_of_law,What harms the adherence to the Constitution in Thailand?,Ancient prejudices and political bias,"[""The adherence to the Constitution in Thailand is harmed by several factors, including:\n\n1. **Political Bias and Prejudices**: There are long-standing political biases and ancient prejudices that affect the behavior and decisions of the three branches of government. This creates a situation where the application of law is not impartial and tends to favor royalist principles.\n\n2. **Rejection of Judicial Decisions**: Specific instances, such as the executive branch's rejection of a supreme court decision regarding the selection of senators in November 2013, undermine the authority and function of the judiciary as outlined in the Constitution.\n\n3. **Weak Rule of Law**: The overall weakness of the rule of law in Thailand and the broader region leads to irregularities in legal practices, where laws may not be enforced fairly or uniformly, diminishing trust in constitutional adherence.\n\n4. **Discretionary Administration**: There are arguments suggesting that while the rule of law has survived in some form, it has transformed to allow greater discretion by administrators, potentially compromising the legal principles laid out in the Constitution.\n\n5. **Historical Context**: The legacy of historical governance and constitutional changes that have often favored concentrated power can create an environment where constitutional adherence is seen as secondary to political interests. \n\nThese factors contribute to a complicated and often contested relationship with the Constitution in Thailand, affecting its implementation and the public's trust in legal institutions.""]",7
Universal_Studios,In what year did MCA take over Universal?,1962,"['The provided context does not contain specific information regarding the year MCA took over Universal. Based on external knowledge, MCA (Music Corporation of America) took over Universal Pictures in 1962.']",8
Classical_music,What instrument did Anna Lelkes play?,harp,['Anna Lelkes played the harp.'],3
Alexander_Graham_Bell,On what day did the Halifax Explosion happen?,"December 6, 1917","['The Halifax Explosion occurred on December 6, 1917.']",10
Dutch_Republic,Who was influenced by the Constitution of the Republic of the United Provinces?,The framers of the US Constitution,"['The Constitution of the Republic of the United Provinces, also known as the Dutch Republic, influenced various political thinkers and movements, notably John Locke and his ideas on governance and tolerance. Additionally, its principles of governance may have indirectly influenced the development of democratic ideologies in various countries, including the United States, as it was part of the broader context of European political thought during the Enlightenment.']",2
East_India_Company,What was the total bounty offered for Captian Every after England heard that the Ganj-i-Sawai was  taken,"£1,000","['The total bounty offered for Captain Every after England learned that the Ganj-i-Sawai was taken was £1,000, which was a substantial amount at the time.']",7
Hunting,What percentage of Americans actually hunted at the beginning of the 21st century?,just six percent,"['At the beginning of the 21st century, just six percent of Americans actually hunted.']",5
Yale_University,What title change will be happening to reduce racial tensions?,the title of “master” for faculty members who serve as residential college leaders will be renamed to “head of college”,"['The context does not explicitly mention a specific title change aimed at reducing racial tensions. However, it discusses historical changes in leadership and representation, such as the election of black mayors in cities with significant African American populations. To reduce racial tensions, a potential title change could be the election of more representatives of color to political office, specifically mayors or council members in cities with predominantly black populations.']",0
Huguenot,The term may be related to what politician from Switzerland?,Besançon Hugues,"['The term may be related to Adolf Hitler, who had a lifelong fascination with the Alps and established a home in the Obersalzberg region of Switzerland. While he was not a politician from Switzerland, his connection to that region and its significance during World War II makes him relevant in this context.']",0
Phonology,With the passage of time what particular things phonemic in a language are known to change?,contrasts,"['The particular contrasts which are phonemic in a language can change over time. This means that sounds which were once considered to be distinct phonemes can merge into a single phoneme or, conversely, sounds that were previously allophones of the same phoneme can evolve into separate phonemes. For example, historical changes in languages can lead to shifts in the phonemic system, altering how certain sounds are perceived and categorized within a language.']",3
Seven_Years%27_War,What were casualties like in the 1757 battle in Prague?,both forces suffered major casualties,"[""The battle in Prague on 6 May 1757 resulted in major casualties for both the Prussian and Austrian forces, although specific numbers are not provided in the context. The outcome of the battle forced the Austrians back into the fortifications of Prague, and the Prussians subsequently laid siege to the city. After this battle, Frederick the Great had to withdraw some of his troops due to the weakness of the Prussian army in maintaining the siege and defending against the reinforcements under Marshal Daun. The battle was significant as it marked Frederick's first military defeat.""]",8
Religion_in_ancient_Rome,Who ate the meat of the sacrifice during the after sacrifice  banquet?,officials and priests,"['In the context of Han China, the families who made ritual sacrifices of animals and food to deities, spirits, and ancestors would typically consume the meat of the sacrifice during the after-sacrifice banquet. This practice was part of the belief that the items offered could be utilized by those in the spiritual realm, while the remaining food would be eaten by the worshippers as part of the ritual celebrations.']",3
