title,question,expected_answer,generated_answer,is_similar
Pope_Paul_VI,What type of theologians did the World Council of Churches decide to include in their committees?,Catholic,"['The World Council of Churches decided to include representatives from various Christian traditions in their committees, including theologians from Orthodox churches. These theologians had differing views on participation in the ecumenical movement, ranging from tentative approval of the aim for Christian unity to outright condemnation of what they perceived as a dilution of Orthodox doctrine.']",0
Rule_of_law,What harms the adherence to the Constitution in Thailand?,Ancient prejudices and political bias,"[""The contexts provided do not specifically address the situation in Thailand or outline the factors that may harm adherence to the Constitution there. However, it can be inferred that issues such as political corruption, military intervention, and lack of public trust in the legal and political systems can undermine adherence to constitutional principles in many countries, including Thailand. \n\nIn Thailand, political instability and coups have historically disrupted constitutional governance, leading to military rule and a lack of democratic processes. Additionally, allegations of corruption and power struggles can erode the rule of law and the effectiveness of constitutional frameworks. Therefore, while the provided contexts do not directly address the question, one could argue that similar patterns of governance and societal issues reflected in them might also apply to Thailand's struggles with constitutionality.""]",3
Universal_Studios,In what year did MCA take over Universal?,1962,['MCA took over Universal in 1958.'],0
Classical_music,What instrument did Anna Lelkes play?,harp,['Anna Lelkes is a mandolin virtuoso.'],0
Alexander_Graham_Bell,On what day did the Halifax Explosion happen?,"December 6, 1917","['The Halifax Explosion occurred on December 6, 1917.']",10
Dutch_Republic,Who was influenced by the Constitution of the Republic of the United Provinces?,The framers of the US Constitution,"['The Constitution of the Republic of the United Provinces influenced the development of democratic principles in various nations and regions, as it laid the groundwork for the separation of powers and governance structures that informed later constitutional frameworks, including those in the American and French Revolutions. Additionally, it served as an example for other emerging democracies in Europe and beyond during the Age of Empire.']",2
East_India_Company,What was the total bounty offered for Captian Every after England heard that the Ganj-i-Sawai was  taken,"£1,000","['The total bounty offered for Captain Every after England learned that the Ganj-i-Sawai was taken was £1,000.']",7
Hunting,What percentage of Americans actually hunted at the beginning of the 21st century?,just six percent,"['At the beginning of the 21st century, just six percent of Americans actually hunted.']",5
Yale_University,What title change will be happening to reduce racial tensions?,the title of “master” for faculty members who serve as residential college leaders will be renamed to “head of college”,['The title of “master” for faculty members who serve as residential college leaders will be renamed to “head of college” due to its connotation of slavery.'],8
Huguenot,The term may be related to what politician from Switzerland?,Besançon Hugues,"[""The term may be related to the Swiss People's Party (SVP), a national conservative political party in Switzerland. This party was involved in the 2014 ballot initiative to restrict immigration.""]",0
Phonology,With the passage of time what particular things phonemic in a language are known to change?,contrasts,"['The particular contrasts which are phonemic in a language can change over time. For example, sounds that were once allophones of the same phoneme in a language may later become separate phonemes. This is one of the main factors contributing to the historical change of languages.']",3
Seven_Years%27_War,What were casualties like in the 1757 battle in Prague?,both forces suffered major casualties,"['In the Battle of Prague on May 6, 1757, both the Prussian and Austrian forces suffered major casualties. Although specific numbers for each side are not provided in the excerpt, it is noted that the battle was bloody and the Prussians successfully forced the Austrians back into their fortifications. This indicates significant losses for both armies during the conflict.']",9
