title,question,expected_answer,generated_answer,is_similar
Pope_Paul_VI,What type of theologians did the World Council of Churches decide to include in their committees?,Catholic,"[""The World Council of Churches decided to include a variety of theologians from different Christian traditions in their committees, specifically aiming to represent diverse perspectives and promote ecumenism. This includes theologians from Catholic, Lutheran, Reformed (Calvinist), Anglican, and Eastern Orthodox backgrounds, among others. The intention is to foster dialogue and cooperation among denominations while addressing shared concerns and beliefs about faith and the Church's mission.""]",3
Rule_of_law,What harms the adherence to the Constitution in Thailand?,Ancient prejudices and political bias,"[""The context provided does not specifically address Thailand or its adherence to the Constitution. Therefore, based on the information available, one can infer that challenges to constitutional adherence in countries like Myanmar could mirror potential issues in Thailand, such as military influence in politics, restrictions on civil liberties, and the suppression of dissent. In many cases, repressive regimes or military rule can undermine democratic processes and legal frameworks, leading to violations of constitutional rights. Additionally, the presence of political unrest, ethnic tensions, and limited freedoms of expression and assembly can further harm adherence to constitutional principles. However, specific references to Thailand's situation are not included in the context provided.""]",2
Universal_Studios,In what year did MCA take over Universal?,1962,['MCA took over Universal in 1990.'],0
Classical_music,What instrument did Anna Lelkes play?,harp,['Anna Lelkes played the harp.'],5
Alexander_Graham_Bell,On what day did the Halifax Explosion happen?,"December 6, 1917","['The Halifax Explosion occurred on December 6, 1917.']",8
Dutch_Republic,Who was influenced by the Constitution of the Republic of the United Provinces?,The framers of the US Constitution,"['The Constitution of the Republic of the United Provinces influenced various Enlightenment thinkers and political leaders, including John Locke and Thomas Jefferson. These figures drew from the principles established in this constitution to shape their own ideas about governance, individual rights, and the separation of church and state, which later informed the development of democratic governance in other countries, including the United States.']",2
East_India_Company,What was the total bounty offered for Captian Every after England heard that the Ganj-i-Sawai was  taken,"£1,000","['The total bounty offered for Captain Every, after it was reported that the Ganj-i-Sawai had been taken, was £1,000 by the English government.']",7
Hunting,What percentage of Americans actually hunted at the beginning of the 21st century?,just six percent,"['The provided context does not specifically mention the percentage of Americans who actually hunted at the beginning of the 21st century. Therefore, it is not possible to answer the question based on the given information. If you have access to data or statistics from other sources, that might provide the needed information.']",0
Yale_University,What title change will be happening to reduce racial tensions?,the title of “master” for faculty members who serve as residential college leaders will be renamed to “head of college”,"['The title change that will be happening to reduce racial tensions is the move from using the term ""Negro"" to more contemporary and accepted terms such as ""Black"" or ""African American."" This change reflects a broader societal shift towards embracing identities that individuals feel proud of, as seen during the Civil Rights movement when figures like Malcolm X and Martin Luther King, Jr. advocated for the recognition of African heritage in a way that empowers rather than marginalizes. This evolution in terminology aims to foster a sense of unity and respect among diverse communities.']",0
Huguenot,The term may be related to what politician from Switzerland?,Besançon Hugues,"[""The context provided does not mention any specific Swiss politicians directly. However, the term could relate to any significant politician from Switzerland, such as Jean-Luc Godard, a prominent figure in Swiss politics, or more broadly to figures associated with Swiss political structures like members of the Federal Council. Without more specific context about a term or politician, it's hard to determine the exact answer. If you have a specific term or context in mind, please provide that for a more accurate response.""]",0
Phonology,With the passage of time what particular things phonemic in a language are known to change?,contrasts,"['The particular contrasts that are phonemic in a language can change over time. This includes changes in which sounds are perceived as different phonemes or shifts in the phonemic status of sounds, such as pairs of sounds that were once allophones of the same phoneme becoming assigned to separate phonemes. Additionally, phonological rules and the organizational systems of sounds within a language can evolve, leading to variations in how sounds function and convey meaning.']",7
Seven_Years%27_War,What were casualties like in the 1757 battle in Prague?,both forces suffered major casualties,"['The casualties in the 1757 Battle of Prague were major for both the Prussian and Austrian forces. Although the specific numbers are not detailed in the provided context, it is stated that both armies suffered significant losses during the battle, which ultimately led to the Prussians forcing the Austrians back into their fortifications and laying siege to the city.']",9
Religion_in_ancient_Rome,Who ate the meat of the sacrifice during the after sacrifice  banquet?,officials and priests,"['The meat of the sacrifice during the after sacrifice banquet was typically eaten by the priests who conducted the rituals, as well as by other participants in the religious ceremony. This practice was common in various ancient cultures, including the Sumerians, where animal and vegetable sacrifices were made in temples, and the meat was consumed as part of the ritual celebration.']",7
Pope_John_XXIII,New pontiffs are chosen from Cardinals who head what?,archdioceses or departments of the Roman Curia,['New pontiffs are chosen from Cardinals who head the titular churches in Rome or are associated with the suburbicarian sees.'],2
Samurai,Where did the bushi live?,mainly in the north of Japan,"['The bushi, or samurai, lived in mansions known as ""bukeyashiki,"" which were built in accordance with their status as warriors. These residences were located in various regions of Japan, often in the provinces where they served their lords or managed their clans.']",0
FA_Cup,Where was the first trophy presented? ,the Pall Mall Restaurant in London,"['The context does not provide specific information about the exact location where the first trophy was presented. However, it mentions the formation of The Football Association (The FA) in 1863 and some historical details about English football, indicating a connection to England. If you are referring to a specific trophy related to football or any other sport, please clarify, and I will do my best to provide an accurate answer based on the available information.']",0
Tibet,What is worshipped during Tibet's various festibals?,Buddha,"[""During Tibet's various festivals, the Buddha is worshipped. These festivals often include rituals and offerings that reflect the deep religious significance of Tibetan Buddhism in the culture.""]",3
Franco-Prussian_War,What did France fear by an alliance between Prussia and Spain?,encirclement,"[""France feared that an alliance between Prussia and Spain would consolidate a powerful coalition that could threaten its interests in Europe. Prussia's ambition, particularly in areas such as Saxony and the Polish-Lithuanian Commonwealth, coupled with Spain's influence and resources, could lead to an increased risk of war and a stronger opposition against France's territorial ambitions. Additionally, such an alliance might also undermine France's efforts to maintain its position as a dominant power in Europe, potentially making it more vulnerable to both military and diplomatic challenges from this combined force.""]",3
Zhejiang,When did the Six Dynasties end?,589,['The Six Dynasties period ended in 589 AD when the Sui Dynasty unified China.'],7
