title,question,expected_answer,generated_answer,is_similar
Pope_Paul_VI,What type of theologians did the World Council of Churches decide to include in their committees?,Catholic,"['The World Council of Churches decided to include Catholic theologians in its committees, provided they have the backing of the Vatican.']",2
Rule_of_law,What harms the adherence to the Constitution in Thailand?,Ancient prejudices and political bias,"['The adherence to the Constitution in Thailand is harmed by ancient prejudices and political bias present in the three branches of government, which has resulted in justice being processed in a manner that often aligns more closely with royalist principles rather than the actual constitutional framework. Additionally, there are threats to the rule of law when the executive branch rejects decisions made by the supreme court, indicating a lack of respect for judicial authority and constitutional processes.']",7
Universal_Studios,In what year did MCA take over Universal?,1962,['MCA took over Universal in mid-1962.'],7
Classical_music,What instrument did Anna Lelkes play?,harp,['Anna Lelkes played the harp.'],3
Alexander_Graham_Bell,On what day did the Halifax Explosion happen?,"December 6, 1917","['The Halifax Explosion occurred on December 6, 1917.']",10
Dutch_Republic,Who was influenced by the Constitution of the Republic of the United Provinces?,The framers of the US Constitution,['The framers of the US Constitution were influenced by the Constitution of the Republic of the United Provinces.'],3
East_India_Company,What was the total bounty offered for Captian Every after England heard that the Ganj-i-Sawai was  taken,"£1,000","['The total bounty offered for Captain Every after England learned that the Ganj-i-Sawai was taken was £1,000.']",5
Hunting,What percentage of Americans actually hunted at the beginning of the 21st century?,just six percent,"['At the beginning of the 21st century, just six percent of Americans hunted.']",7
Yale_University,What title change will be happening to reduce racial tensions?,the title of “master” for faculty members who serve as residential college leaders will be renamed to “head of college”,"['The title change that will be happening to reduce racial tensions is the implementation of Title VII of the Civil Rights Act, which aims to end discrimination in firms with 25 or more employees. This legislation is designed to promote nondiscrimination in hiring, firing, and promotion, encouraging employers to make decisions based on ability and qualifications rather than race or religion.']",0
Huguenot,The term may be related to what politician from Switzerland?,Besançon Hugues,"['The term is likely related to the ""Confederate Party"" in Switzerland, which sought independence from the Duke of Savoy through an alliance between Geneva and the Swiss Confederation. The context hints at political movements and historical figures associated with Switzerland, but no specific politician\'s name is provided. The term ""Huguenot"" mentioned in the context may also refer to political figures involved in the Reformed Church and their movements in Switzerland, but again, no specific politician is directly named in the provided context.']",2
Phonology,With the passage of time what particular things phonemic in a language are known to change?,contrasts,"['With the passage of time, the particular contrasts that are phonemic in a language can change. For instance, sounds that were once allophones of the same phoneme may evolve to belong to separate phonemes. This phenomenon is a significant factor in the historical change of languages as described in historical linguistics.']",3
Seven_Years%27_War,What were casualties like in the 1757 battle in Prague?,both forces suffered major casualties,"['The casualties in the Battle of Prague on 6 May 1757 were significant, with both forces suffering major losses. The Prussians managed to force the Austrians back into the fortifications of Prague after the battle, but specific casualty numbers for this particular battle are not detailed in the provided context. However, it is noted that the aftermath of the battle led to a siege of Prague by the Prussian army.']",8
Religion_in_ancient_Rome,Who ate the meat of the sacrifice during the after sacrifice  banquet?,officials and priests,"['During the sacrificial banquet, the meat (viscera) of the sacrifice was shared among human beings, while the exta and blood were reserved for the gods. Roman officials and priests reclined in order of precedence alongside and ate the meat, while lesser citizens may have had to provide their own.']",7
Pope_John_XXIII,New pontiffs are chosen from Cardinals who head what?,archdioceses or departments of the Roman Curia,['New pontiffs are chosen from Cardinals who head archdioceses or departments of the Roman Curia that attend the papal conclave.'],7
Samurai,Where did the bushi live?,mainly in the north of Japan,"['The bushi class was developed mainly in the north of Japan, where they formed powerful clans.']",7
FA_Cup,Where was the first trophy presented? ,the Pall Mall Restaurant in London,"['The first trophy was presented at a reception held four weeks after the first FA Cup final in 1872, which took place in the Pall Mall Restaurant in London.']",8
Tibet,What is worshipped during Tibet's various festibals?,Buddha,"[""During Tibet's various festivals, the Buddha is commonly worshipped.""]",3
Franco-Prussian_War,What did France fear by an alliance between Prussia and Spain?,encirclement,['France feared encirclement by an alliance between Prussia and Spain.'],5
Zhejiang,When did the Six Dynasties end?,589,['The Six Dynasties period ended with the establishment of the Sui dynasty in 589 AD.'],7
Hindu_philosophy,"According to a school of Vedanta, what is all reality?",Brahman,"['According to a school of Vedanta, all reality is Brahman.']",8
51st_state,What percentage of voters rejected the status of territory?,54 percent,['54 percent of respondents voted to reject the current status under the territorial clause of the U.S. Constitution.'],7
On_the_Origin_of_Species,What was chapter VII entitled?,Miscellaneous objections,"['The provided contexts do not specifically mention a chapter VII or its title. Therefore, I cannot provide an answer regarding the title of chapter VII based on the given information.']",0
Arena_Football_League,When was free agency scheduled to begin after the delay?,December 11,['Free agency was scheduled to begin on December 11 after the delay.'],7
Frédéric_Chopin,"Who said Chopin's works were modeled after Bach, Beethoven, Schubert and Field?",Richard Taruskin,"[""The provided context does not specify who said that Chopin's works were modeled after Bach, Beethoven, Schubert, and Field. Therefore, I cannot provide a precise answer based on the given information. If more context or specific references are available, please share them for a more accurate response.""]",0
Szlachta,WHo would pay for expenses during travels or the royal courts?,the king and the court,"[""Expenses during travels or the royal courts would typically be covered by the monarchy itself, particularly by the reigning monarch or the royal household's budget. This would include costs for accommodations, transportation, and any related expenses incurred by the royal family during their official duties and public appearances. For instance, in the context of Queen Victoria, the costs associated with her tours and public appearances would have been met by the royal finances allocated for such events.""]",2
Hellenistic_period,What years were the Roman–Parthian Wars?,66 BC – 217 AD,['The Roman–Parthian Wars occurred from 66 BC to 217 AD.'],9
Adult_contemporary_music,At the end of what decade did the Hot 100 and Easy Listening charts begin to converge?,1960s,['The Hot 100 and Easy Listening charts began to converge at the end of the 1960s decade.'],7
The_Legend_of_Zelda:_Twilight_Princess,When were track versions of the game's sountrack released?,"November 19, 2006","[""The track versions of the game's soundtrack were released on November 19, 2006.""]",10
Capital_punishment_in_the_United_States,In what year did the American Law Institute change their mind about their contribution on the death penalty to the Model Penal Code?,2009,"['The American Law Institute changed their position on the death penalty in 2018, when they formally withdrew their comments regarding capital punishment from the Model Penal Code.']",0
Mexico_City,How many days a week does the city encourage people to go without a car?,two days,"['The text does not explicitly mention a specific number of days a week that the city encourages people to go without a car. However, it highlights bike-friendly initiatives and events such as ""Bike Miami,"" which indicates a general encouragement of biking and reducing car usage, particularly during those events. For a concrete number, additional information would be needed.']",0
Association_football,In what year did an incident help introduce added time?,1891,['The incident that helped introduce added time occurred in 1891.'],5
Egypt,Who took control of Egypt in 525 BC?,Achaemenid Persians,"['The Achaemenid Persians, led by Cambyses II, took control of Egypt in 525 BC.']",8
Buddhism,"According to Genshin, who has the power to destroy karma?",Amitābha,"['According to Genshin, Amitābha has the power to destroy the karma that would otherwise bind one in saṃsāra.']",2
Mary_(mother_of_Jesus),Who was Aaron's wife?,Elisheba,"[""Aaron's wife was Elisheba.""]",8
Clothing,What habitat is the body louse specific to?,clothing,"['The body louse is specifically associated with clothing, as it lives in clothing worn by humans.']",3
Korean_War,What two areas was Korea divided into?,Soviet and U.S. occupation zones,['Korea was divided into North Korea and South Korea.'],3
Queen_Victoria,"In 1889, what was Victoria the first reining monarch from Britian to do?",set foot in Spain,"['In 1889, Victoria became the first reigning monarch from Britain to set foot in Spain when she crossed the border for a brief visit.']",8
Boston,Most of the city lies in which USDA plant hardiness zone?,6b,['Most of New York City lies in USDA plant hardiness zone 7b.'],0
Karl_Popper,How did Popper feel about Marxism after only a short time associating with other Marxists?,disillusioned,"['After a short time associating with other Marxists, Karl Popper quickly became disillusioned with Marxism. His experiences, particularly the riot in 1919 where several of his friends were shot, led him to distance himself from the ideology. He came to reject Marxist historicism and the belief that blood should be spilled for the sake of revolution. Instead, he emphasized the need for extreme prudence when it came to sacrificing human lives and eventually adopted a stance of social liberalism.']",8
Saint_Barth%C3%A9lemy,What did the native peoples of Saint-Barthélemy call the island?,Ouanalao,['The native peoples of Saint-Barthélemy called the island Ouanalao.'],7
Strasbourg,The traffic coming west of the city is from where?,unité urbaine,"['The traffic coming west of the city is from the highway connection between the junctions of the A4 and the A35 autoroutes, which is meant to divest motorized traffic from the unité urbaine.']",0
Southeast_Asia,The Indian influence is evident in which country through the Tamil migrants?,Singapore,['The Indian influence is evident in Singapore through the Tamil migrants.'],2
House_music,what record labels helped popularize house music?,Trax Records and DJ International Records,"['The record labels that helped popularize house music include Trax Records, DJ International Records, and One Voice Records. Additionally, local dance music record shops such as Importes, State Street Records, Loop Records, and Gramaphone Records contributed to its popularity, particularly in Chicago.']",7
Premier_League,How many games did BT show in 2013-16?,BT had been awarded 38 games a season for the 2013–14 through 2015–16 seasons at £246 million-a-year.,['BT showed 38 games per season from 2013–14 through 2015–16.'],7
FC_Barcelona,When did Barcelona win the Spanish League?,23 June 1929,"['Barcelona won the Spanish League title on May 11, 2013, and it was their 22nd title overall. They were crowned champions with four games left to play in the season.']",0
Catalan_language,What does this imply the use an extra group of pronouns for?,formality,"[""The passage suggests that the use of an extra group of pronouns, specifically in the context discussed (likely the Czech language), implies a distinction in grammatical functions. In Czech, pronouns are generalized over cases, such as the dative and accusative, and the introduction of this extra group allows for clearer communication and distinction between grammatical roles in sentences. This ensures that listeners or readers can correctly interpret the intended meaning based on the pronoun used. Additionally, the reference to the third person plural forms indicates that the complexity and variation of pronouns are important for expressing relationships and actions within the language's grammatical structure.""]",0
Greece,What three countries sent their Navy to Greece?,"Russia, the United Kingdom and France","['The three countries that sent their navy to Greece were Britain, France, and Russia.']",10
Roman_Republic,After what war did the alliances start to solidify?,Second Punic War,['The alliances started to solidify after the Second Punic War.'],7
Molotov%E2%80%93Ribbentrop_Pact,How long after the annexation of Kresy was the amendment made?,Eleven days,"['The annexation of Kresy occurred between 1939 and 1940, and the amendment concerning the revision of territories was made through the Basic Law, which came into effect after World War II, specifically on May 23, 1949. Therefore, the amendment was made approximately 9 to 10 years after the annexation of Kresy.']",0
Labour_Party_(UK),When did Labour publish a new draft manifesto?,1996,"['The provided contexts do not contain any information regarding the publication of a new draft manifesto by the Labour Party. Therefore, I cannot provide a specific date for when Labour published a new draft manifesto based on the given information.']",0
General_Electric,Which city was the home of GE's first headquarters?,Schenectady,"[""The city that was the home of GE's first headquarters is Schenectady, New York.""]",8
Lighting,What kind of tube are the movie theaters lights enclosed in?,translucent tube,"['The lights used in movie theaters, particularly those involving incandescent lamps or halogen lamps, are typically enclosed in glass tubes or envelopes. These tubes help to contain the filament and provide protection, as well as influencing the light output and distribution.']",2
Frédéric_Chopin,What year was Chopin born?,1810,['Chopin was born in the year 1810.'],7
Hunting,Approximately how many sport hunters applied for hunting licences in recent years?,"12,000","['Approximately 12,000 sport hunters applied for hunting licences in recent years.']",7
