title,question,expected_answer,generated_answer,is_similar
Pope_Paul_VI,What type of theologians did the World Council of Churches decide to include in their committees?,Catholic,"['The World Council of Churches sought to include a variety of theologians from different Christian traditions. This generally includes representatives from Catholic, Lutheran, Reformed (Calvinist), Anglican, and Orthodox backgrounds, reflecting a commitment to ecumenism and a desire to foster dialogue and collaboration among diverse Christian denominations.']",3
Rule_of_law,What harms the adherence to the Constitution in Thailand?,Ancient prejudices and political bias,"[""The adherence to the Constitution in Thailand is harmed by several factors, including political instability, government actions that undermine democratic processes, and judicial bias. These issues often arise from the military's involvement in politics, restrictions on freedom of expression, and a lack of effective checks and balances within the political system. Additionally, acts of repression against political opponents or dissenting voices further compromise constitutional adherence. In a broader sense, political parties, the judiciary, and the military's influence can lead to laws and actions that deviate from constitutional principles, impacting the rule of law and democratic governance in Thailand.""]",3
Universal_Studios,In what year did MCA take over Universal?,1962,['MCA took over Universal in 1990.'],0
Classical_music,What instrument did Anna Lelkes play?,harp,"[""The provided contexts do not contain any information about Anna Lelkes or the instrument she plays. Therefore, I can't provide an answer to that question based on the given text.""]",0
Alexander_Graham_Bell,On what day did the Halifax Explosion happen?,"December 6, 1917","['The Halifax Explosion occurred on December 6, 1917.']",9
Dutch_Republic,Who was influenced by the Constitution of the Republic of the United Provinces?,The framers of the US Constitution,"['The Constitution of the Republic of the United Provinces, which was established in the late 16th and early 17th centuries, influenced various Enlightenment thinkers and political philosophers, including John Locke, who is often associated with the development of liberal political theory. This constitution emphasized principles such as individual liberties and the separation of powers, which would later impact the development of modern democratic constitutions, including those in France and the United States. Additionally, it played a role in shaping the ideas of constitutional governance that influenced future political movements and revolutions across Europe and North America.']",3
East_India_Company,What was the total bounty offered for Captian Every after England heard that the Ganj-i-Sawai was  taken,"£1,000","['The provided contexts do not contain any information about Captain Every or the bounty offered for him after the Ganj-i-Sawai was taken. Therefore, I am unable to answer the question based on the given information.']",0
Hunting,What percentage of Americans actually hunted at the beginning of the 21st century?,just six percent,"['The provided contexts do not mention any statistics regarding the percentage of Americans who hunted at the beginning of the 21st century. Therefore, I cannot provide an answer based on the given information.']",0
Yale_University,What title change will be happening to reduce racial tensions?,the title of “master” for faculty members who serve as residential college leaders will be renamed to “head of college”,"[""The title change that will be happening to reduce racial tensions involves the potential renaming of Calhoun College at Yale University. Students have signed a petition calling for the name change due to John C. Calhoun's history as a slave-owner and defender of slavery and white supremacy.""]",0
Huguenot,The term may be related to what politician from Switzerland?,Besançon Hugues,"['The term ""hard left"" is not directly related to a specific politician from Switzerland based on the provided contexts. However, if we\'re considering Swiss politicians associated with leftist movements or socialism, one prominent figure could be **Ruth Dreifuss**, who was a member of the Social Democratic Party and served as a Federal Councillor in Switzerland.']",0
Phonology,With the passage of time what particular things phonemic in a language are known to change?,contrasts,"['With the passage of time, various phonemic aspects of a language are known to change, including:\n\n1. **Vowel Reduction**: Unstressed vowels often undergo reduction, leading to a simplified vowel system. For example, in some dialects, unstressed vowels may merge or reduce to a central vowel.\n\n2. **Consonant Changes**: The realization of consonants can shift over time, including voicing changes, dropping of consonants in certain positions, or changes in how consonants cluster together.\n\n3. **Phonetic Distinctions**: Languages may lose or gain distinctions between certain phonemes (e.g., the merging of /e/ and /ɛ/ in some dialects can lead to a lack of distinction that was previously present).\n\n4. **Diphthongization or Monophthongization**: Vowels may either evolve into diphthongs (combined vowel sounds) or simplify into single vowel sounds.\n\n5. **Tone and Intonation Shifts**: Changes in the pitch patterns associated with different words or phrases can occur, influencing the overall prosody of the language.\n\n6. **Sound substitutions**: Certain sounds might be substituted for others in specific contexts, affecting pronunciation and sometimes the identity of words.\n\n7. **Morphological Changes**: The application of phonological rules can impact the morphological structure of words, leading to changes in inflectional endings or the creation of new forms.\n\nThese changes can result from natural linguistic evolution, external influences such as contact with other languages, and sociolinguistic factors, leading to significant phonological differences over generations.']",3
Seven_Years%27_War,What were casualties like in the 1757 battle in Prague?,both forces suffered major casualties,"['The battle in Prague on 6 May 1757 resulted in major casualties for both the Prussians and the Austrians. Although specific numbers are not provided, it is evident that both forces suffered significant losses, forcing the Prussians to lay siege to the city and subsequently face challenges due to their weakened state.']",9
Religion_in_ancient_Rome,Who ate the meat of the sacrifice during the after sacrifice  banquet?,officials and priests,['The priests of the temple typically ate the meat of the sacrifice during the after-sacrifice banquet.'],3
